0	4673d1a9-dca0-345c-43bb-35b00ea79c7b	Betty	Kayton	Female	ac8e670d-9193-bc11-d637-556aee3975f9	CFO
1	ef8f55a2-ef87-9c85-1be8-c8a26bfef6a2	Daniel	Leff	Male	cd2b3d96-fccb-b4b8-a216-6c6f9f7cef48	Founder & Managing Partner
2	6171f0b6-e39f-247f-1290-cfa84781e4c8	John	Donovan	Male	6599f877-7c83-0c47-b05b-dbedd3db7b3a	Affiliate, Economics Department
3	6171f0b6-e39f-247f-1290-cfa84781e4c8	John	Donovan	Male	6599f877-7c83-0c47-b05b-dbedd3db7b3a	Affiliate, Economics Department
4	6171f0b6-e39f-247f-1290-cfa84781e4c8	John	Donovan	Male	6599f877-7c83-0c47-b05b-dbedd3db7b3a	Affiliate, Economics Department
5	6171f0b6-e39f-247f-1290-cfa84781e4c8	John	Donovan	Male	6599f877-7c83-0c47-b05b-dbedd3db7b3a	Affiliate, Economics Department
6	6171f0b6-e39f-247f-1290-cfa84781e4c8	John	Donovan	Male	6599f877-7c83-0c47-b05b-dbedd3db7b3a	Affiliate, Economics Department
7	6171f0b6-e39f-247f-1290-cfa84781e4c8	John	Donovan	Male	6599f877-7c83-0c47-b05b-dbedd3db7b3a	Affiliate, Economics Department
8	6171f0b6-e39f-247f-1290-cfa84781e4c8	John	Donovan	Male	6599f877-7c83-0c47-b05b-dbedd3db7b3a	Affiliate, Economics Department
9	6171f0b6-e39f-247f-1290-cfa84781e4c8	John	Donovan	Male	6599f877-7c83-0c47-b05b-dbedd3db7b3a	Affiliate, Economics Department
10	6171f0b6-e39f-247f-1290-cfa84781e4c8	John	Donovan	Male	6599f877-7c83-0c47-b05b-dbedd3db7b3a	Affiliate, Economics Department
11	6171f0b6-e39f-247f-1290-cfa84781e4c8	John	Donovan	Male	6599f877-7c83-0c47-b05b-dbedd3db7b3a	Affiliate, Economics Department
12	6171f0b6-e39f-247f-1290-cfa84781e4c8	John	Donovan	Male	6599f877-7c83-0c47-b05b-dbedd3db7b3a	Affiliate, Economics Department
13	6171f0b6-e39f-247f-1290-cfa84781e4c8	John	Donovan	Male	6599f877-7c83-0c47-b05b-dbedd3db7b3a	Affiliate, Economics Department
14	6171f0b6-e39f-247f-1290-cfa84781e4c8	John	Donovan	Male	6599f877-7c83-0c47-b05b-dbedd3db7b3a	Affiliate, Economics Department
15	6171f0b6-e39f-247f-1290-cfa84781e4c8	John	Donovan	Male	6599f877-7c83-0c47-b05b-dbedd3db7b3a	Affiliate, Economics Department
16	6171f0b6-e39f-247f-1290-cfa84781e4c8	John	Donovan	Male	6599f877-7c83-0c47-b05b-dbedd3db7b3a	Affiliate, Economics Department
17	6171f0b6-e39f-247f-1290-cfa84781e4c8	John	Donovan	Male	6599f877-7c83-0c47-b05b-dbedd3db7b3a	Affiliate, Economics Department
18	6171f0b6-e39f-247f-1290-cfa84781e4c8	John	Donovan	Male	6599f877-7c83-0c47-b05b-dbedd3db7b3a	Affiliate, Economics Department
19	6171f0b6-e39f-247f-1290-cfa84781e4c8	John	Donovan	Male	6599f877-7c83-0c47-b05b-dbedd3db7b3a	Affiliate, Economics Department
20	6171f0b6-e39f-247f-1290-cfa84781e4c8	John	Donovan	Male	6599f877-7c83-0c47-b05b-dbedd3db7b3a	Affiliate, Economics Department
21	6171f0b6-e39f-247f-1290-cfa84781e4c8	John	Donovan	Male	6599f877-7c83-0c47-b05b-dbedd3db7b3a	Affiliate, Economics Department
22	6171f0b6-e39f-247f-1290-cfa84781e4c8	John	Donovan	Male	6599f877-7c83-0c47-b05b-dbedd3db7b3a	Affiliate, Economics Department
23	6171f0b6-e39f-247f-1290-cfa84781e4c8	John	Donovan	Male	6599f877-7c83-0c47-b05b-dbedd3db7b3a	Affiliate, Economics Department
24	6171f0b6-e39f-247f-1290-cfa84781e4c8	John	Donovan	Male	6599f877-7c83-0c47-b05b-dbedd3db7b3a	Affiliate, Economics Department
25	6171f0b6-e39f-247f-1290-cfa84781e4c8	John	Donovan	Male	6599f877-7c83-0c47-b05b-dbedd3db7b3a	Affiliate, Economics Department
26	389ee7c8-6b42-1ed8-70f9-95c10d4d7765	Igor	Shoifot	Male	9ccdb121-e93c-9a3e-6d11-57920cc82ecb	Investment Partner
27	389ee7c8-6b42-1ed8-70f9-95c10d4d7765	Igor	Shoifot	Male	9ccdb121-e93c-9a3e-6d11-57920cc82ecb	Investment Partner
28	389ee7c8-6b42-1ed8-70f9-95c10d4d7765	Igor	Shoifot	Male	9ccdb121-e93c-9a3e-6d11-57920cc82ecb	Investment Partner
29	389ee7c8-6b42-1ed8-70f9-95c10d4d7765	Igor	Shoifot	Male	9ccdb121-e93c-9a3e-6d11-57920cc82ecb	Investment Partner
30	58df9ab6-4ef6-1673-45ef-830dab6bd601	Amol	Sarva	Male	63948a4d-fae9-c690-802f-2435eec683c1	Co-Founder & CEO
